iter	MAE_SumError	MAE_SumWeight
0	22887.42666	365
1	21216.50803	365
2	19847.61519	365
3	18454.8347	365
4	17112.9787	365
5	16057.1583	365
6	14994.11221	365
7	14081.61073	365
8	13519.70753	365
9	12482.29582	365
10	11706.79244	365
11	10971.86999	365
12	10240.46731	365
13	9900.630407	365
14	9497.732684	365
15	9243.219638	365
16	8920.077164	365
17	8757.604459	365
18	8507.325365	365
19	8191.205562	365
20	8003.23067	365
21	7771.101375	365
22	7561.344491	365
23	7473.478406	365
24	7314.16486	365
25	7056.427831	365
26	7003.888146	365
27	6986.307661	365
28	6873.833236	365
29	6850.853037	365
30	6843.957904	365
31	6767.522526	365
32	6734.812656	365
33	6689.060429	365
34	6694.752141	365
35	6744.806635	365
36	6663.507758	365
37	6683.580021	365
38	6607.232604	365
39	6613.414898	365
40	6611.18366	365
41	6605.196262	365
42	6610.540359	365
43	6594.03572	365
44	6567.255577	365
45	6548.780213	365
46	6523.5476	365
47	6490.793647	365
48	6489.689903	365
49	6486.160844	365
50	6476.194753	365
51	6445.156432	365
52	6438.863795	365
53	6418.803386	365
54	6429.94571	365
55	6452.124838	365
56	6454.935077	365
57	6460.401651	365
58	6450.993319	365
59	6451.605809	365
60	6443.21648	365
61	6457.315192	365
62	6458.186576	365
63	6445.691939	365
64	6420.937715	365
65	6435.578508	365
66	6408.354869	365
67	6414.221935	365
68	6388.294988	365
69	6389.590437	365
70	6386.963146	365
71	6405.147979	365
72	6396.577366	365
73	6398.4364	365
74	6393.245035	365
75	6389.506785	365
76	6392.336424	365
77	6360.236507	365
78	6342.40373	365
79	6339.957647	365
80	6348.587035	365
81	6335.982851	365
82	6335.686391	365
83	6328.945177	365
84	6330.488783	365
85	6348.950949	365
86	6343.703327	365
87	6334.882567	365
88	6334.968722	365
89	6326.103099	365
90	6339.886341	365
91	6352.396924	365
92	6356.227708	365
93	6361.298726	365
94	6392.360867	365
95	6385.985808	365
96	6374.812757	365
97	6389.7669	365
98	6394.665418	365
99	6369.372012	365
100	6351.827011	365
101	6339.809369	365
102	6317.433256	365
103	6279.428119	365
104	6282.303392	365
105	6276.080798	365
106	6281.877344	365
107	6280.586306	365
108	6263.86325	365
109	6249.336832	365
110	6241.334759	365
111	6210.91014	365
112	6221.458202	365
113	6223.973497	365
114	6177.486636	365
115	6175.808561	365
116	6176.559787	365
117	6194.396277	365
118	6177.913224	365
119	6174.574166	365
120	6174.583167	365
121	6171.745779	365
122	6168.837529	365
123	6180.074936	365
124	6171.291452	365
125	6179.089193	365
126	6177.854846	365
127	6169.817639	365
128	6162.939709	365
129	6152.015549	365
130	6153.290404	365
131	6149.580973	365
132	6144.476224	365
133	6146.170541	365
134	6137.800716	365
135	6137.03344	365
136	6128.245705	365
137	6131.769132	365
138	6113.336223	365
139	6113.336223	365
140	6108.18938	365
141	6111.104506	365
142	6105.853396	365
143	6106.909845	365
144	6112.999576	365
145	6106.154994	365
146	6102.89894	365
147	6102.85643	365
