iter	Passed	Remaining
0	217	216829
1	303	151643
2	334	111123
3	392	97778
4	450	89559
5	487	80813
6	523	74196
7	546	67748
8	575	63387
9	604	59856
10	633	56979
11	662	54579
12	703	53382
13	731	51519
14	757	49753
15	774	47659
16	863	49949
17	897	48989
18	935	48302
19	966	47381
20	1004	46832
21	1034	45988
22	1080	45905
23	1122	45664
24	1167	45529
25	1200	44970
26	1249	45014
27	1288	44723
28	1334	44675
29	1368	44249
30	1402	43831
31	1447	43796
32	1493	43753
33	1524	43315
34	1568	43248
35	1601	42890
36	1641	42712
37	1678	42483
38	1712	42196
39	1768	42452
40	1800	42119
41	1834	41855
42	1888	42019
43	1925	41836
44	1956	41513
45	1988	41234
46	2029	41153
47	2062	40906
48	2119	41131
49	2203	41867
50	2254	41950
51	2333	42539
52	2396	42817
53	2458	43060
54	2508	43102
55	2568	43294
56	2617	43311
57	2668	43345
58	2719	43380
59	2760	43253
60	2804	43169
61	2846	43057
62	2906	43230
63	2971	43457
64	3025	43522
65	3073	43489
66	3137	43692
67	3157	43270
68	3338	45048
69	3415	45381
70	3439	45006
71	3494	45038
72	3576	45416
73	3637	45524
74	3697	45601
75	3748	45579
76	3787	45406
77	3830	45277
78	3864	45058
79	3897	44822
80	3928	44569
81	3959	44324
82	3993	44123
83	4028	43929
84	4064	43749
85	4101	43587
86	4132	43371
87	4165	43165
88	4196	42953
89	4239	42865
90	4268	42639
91	4300	42448
92	4331	42248
93	4369	42112
94	4404	41961
95	4438	41796
96	4468	41598
97	4499	41417
98	4529	41223
99	4556	41012
100	4630	41219
101	4676	41169
102	4705	40977
103	4733	40783
104	4766	40631
105	4794	40439
106	4826	40282
107	4857	40116
108	4885	39938
109	4917	39790
110	4948	39630
111	4978	39475
112	5005	39290
113	5033	39121
114	5062	38956
115	5091	38803
116	5122	38657
117	5152	38509
118	5227	38699
119	5299	38865
120	5387	39134
121	5493	39536
122	5602	39943
123	5666	40031
124	5699	39895
125	5733	39768
126	5766	39637
127	5795	39484
128	5830	39367
129	5862	39234
130	5890	39078
131	5922	38942
132	5952	38800
133	5979	38643
134	6007	38491
135	6035	38343
136	6067	38223
137	6094	38069
138	6121	37920
139	6155	37811
140	6182	37663
141	6210	37526
142	6242	37413
143	6271	37280
144	6306	37184
145	6332	37038
146	6358	36899
147	6387	36773
148	6421	36675
149	6455	36580
150	6486	36469
151	6515	36348
152	6546	36239
153	6574	36115
154	6603	36002
155	6637	35908
156	6670	35815
157	6702	35717
158	6742	35661
159	6781	35601
160	6814	35509
161	6851	35439
162	6884	35353
163	6917	35264
164	6957	35208
165	6994	35143
166	7026	35048
167	7063	34982
168	7094	34883
169	7123	34777
170	7155	34687
171	7191	34619
172	7220	34517
173	7250	34420
174	7302	34426
175	7351	34416
176	7386	34344
177	7421	34270
178	7451	34177
179	7480	34077
180	7508	33976
181	7535	33866
182	7566	33782
183	7598	33696
184	7628	33605
185	7666	33552
186	7697	33464
187	7730	33391
188	7758	33292
189	7789	33207
190	7820	33124
191	7856	33060
192	7884	32966
193	7913	32876
194	7947	32808
195	7976	32721
196	8006	32633
197	8034	32544
