iter	Passed	Remaining
0	160	160336
1	180	90140
2	190	63205
3	207	51742
4	226	45113
5	245	40620
6	263	37321
7	278	34525
8	295	32517
9	313	31001
10	331	29775
11	349	28782
12	368	27998
13	387	27290
14	405	26637
15	413	25426
16	430	24909
17	447	24414
18	464	23994
19	481	23603
20	499	23284
21	518	23041
22	537	22822
23	555	22592
24	573	22352
25	591	22144
26	609	21978
27	629	21839
28	647	21666
29	664	21475
30	682	21333
31	699	21173
32	718	21062
33	736	20917
34	759	20940
35	780	20893
36	800	20827
37	819	20752
38	838	20659
39	856	20545
40	874	20462
41	892	20350
42	911	20280
43	929	20195
44	947	20112
45	965	20016
46	983	19947
47	1002	19891
48	1022	19848
49	1042	19799
50	1063	19785
51	1081	19708
52	1099	19638
53	1116	19562
54	1134	19489
55	1151	19417
56	1169	19353
57	1188	19301
58	1206	19245
59	1225	19201
60	1243	19148
61	1263	19122
62	1283	19086
63	1301	19035
64	1320	18995
65	1338	18945
66	1356	18895
67	1365	18709
68	1383	18669
69	1400	18608
70	1409	18444
71	1428	18413
72	1445	18355
73	1468	18381
74	1486	18332
75	1505	18299
76	1523	18256
77	1541	18226
78	1558	18171
79	1577	18143
80	1594	18093
81	1613	18061
82	1630	18019
83	1649	17990
84	1667	17951
85	1686	17922
86	1704	17887
87	1723	17861
88	1741	17824
89	1759	17791
90	1777	17759
91	1795	17725
92	1814	17693
93	1833	17669
94	1851	17641
95	1870	17611
96	1888	17578
97	1909	17574
98	1927	17537
99	1945	17510
100	1963	17480
101	1982	17452
102	2001	17429
103	2021	17419
104	2040	17394
105	2061	17387
106	2078	17349
107	2097	17323
108	2114	17288
109	2133	17258
110	2150	17225
111	2170	17206
112	2188	17176
113	2206	17149
114	2224	17120
115	2242	17091
116	2260	17058
117	2278	17033
118	2297	17006
119	2315	16980
120	2333	16954
121	2351	16923
122	2369	16893
123	2387	16865
124	2404	16831
125	2422	16804
126	2440	16775
127	2458	16750
128	2476	16718
129	2495	16702
130	2514	16676
131	2533	16659
132	2551	16635
133	2570	16612
134	2588	16583
135	2606	16560
136	2624	16532
137	2643	16513
138	2661	16486
139	2680	16464
140	2698	16441
141	2716	16411
142	2733	16383
143	2751	16354
144	2768	16326
145	2786	16297
146	2804	16271
147	2822	16247
148	2839	16220
149	2859	16204
150	2877	16179
151	2896	16161
152	2915	16140
153	2934	16122
154	2952	16095
155	2971	16076
156	2990	16056
157	3011	16047
158	3030	16031
159	3051	16018
160	3069	15994
161	3088	15975
162	3105	15946
163	3124	15927
164	3142	15901
165	3161	15884
166	3178	15855
167	3197	15832
168	3214	15804
169	3231	15776
170	3249	15755
171	3268	15733
172	3286	15708
173	3303	15683
174	3321	15658
175	3340	15637
176	3357	15609
177	3375	15587
178	3392	15560
179	3412	15545
180	3430	15520
181	3448	15500
182	3465	15473
183	3484	15454
184	3502	15428
185	3521	15409
186	3538	15384
187	3557	15366
188	3575	15344
189	3594	15322
190	3611	15298
191	3632	15285
192	3651	15268
193	3672	15255
194	3691	15239
195	3710	15221
196	3730	15207
197	3750	15190
